filename,label,cell_a,cell_b,cell_c,angle_alpha,angle_beta,angle_gamma,cell_volume,cell_a_over_b,cell_a_over_c,cell_b_over_c,cell_abc_mean,cell_abc_std,cell_abc_cv,cell_abc_max,cell_abc_min,cell_abc_range,cell_abc_geo_mean,cell_ab_equal,cell_ac_equal,cell_bc_equal,cell_abc_equal,soft_eq_ab,soft_eq_ac,soft_eq_bc,soft_eq_abc,cos_alpha,cos_beta,cos_gamma,angle_dev90_alpha,angle_dev90_beta,angle_dev90_gamma,angle_dev90_sum,angle_dev90_max,angle_dev120_gamma,angle_all_90,angle_alpha_beta_eq,angle_mean,angle_std,score_cubic,score_hexagonal,score_tetragonal,score_orthorhombic,score_monoclinic,log_cell_volume,cbrt_cell_volume,parent_sg_number,parent_crystal_system,parent_sg_normalized,parent_sg_centrosymmetric,parent_pg_order,parent_sg_log,cs_is_1,cs_is_2,cs_is_3,cs_is_4,cs_is_5,cs_is_6,cs_is_7,cs_low_sym,cs_mid_sym,cs_high_sym,cs_has_hex,cs_is_cubic,cs_x_soft_eq_ab,cs_x_soft_eq_abc,cs_x_angle_dev90,cs_x_score_cubic,cs_x_score_hex,cs_x_pg_order,num_atoms,num_unique_elements,atoms_per_element,composition_complexity,occupancy_mean,occupancy_min,occupancy_std,has_partial_occ,frac_partial_sites,total_mass,n_magnetic_elements,n_rare_earth_elements,n_transition_metal_elements,frac_magnetic_elements,frac_rare_earth_elements,frac_transition_metal,atomic_number_mean,atomic_number_max,atomic_number_min,atomic_number_range,atomic_weight_mean,atomic_weight_std,atomic_weight_max,atomic_weight_min,atomic_weight_range,en_pauling_mean,en_pauling_std,en_pauling_max,en_pauling_min,en_pauling_range,atomic_radius_mean,atomic_radius_std,atomic_radius_max,atomic_radius_min,atomic_radius_range,electron_affinity_mean,electron_affinity_std,electron_affinity_max,electron_affinity_min,electron_affinity_range,vdw_radius_mean,vdw_radius_std,vdw_radius_max,vdw_radius_min,vdw_radius_range,dipole_polarizability_mean,dipole_polarizability_std,dipole_polarizability_max,dipole_polarizability_min,dipole_polarizability_range,ionization_e1_mean,ionization_e1_std,ionization_e1_max,ionization_e1_min,ionization_e1_range,group_id_mean,group_id_std,group_id_max,group_id_min,group_id_range,period_mean,period_std,period_max,period_min,period_range,density,log_density,density_per_atom,volume_per_atom,volume_per_element,mass_per_atom,has_magnetic_elem,has_rare_earth,has_tm_and_re,transition_temp_numeric,transition_temp_type,log_transition_temp,sqrt_transition_temp,transition_temp_sq,transition_temp_normed,temp_lt_50K,temp_50_150K,temp_150_300K,temp_300_600K,temp_gt_600K,temp_x_cs,temp_x_pg_order,temp_x_n_mag,temp_x_frac_mag,temp_x_density,temp_x_atomic_wt,temp_x_en,temp_x_nat,temp_x_score_cub,temp_x_score_hex,temp_x_score_tet,temp_x_volume,temp_x_vol_pa,n_mag_x_cs,n_mag_x_score_cub,n_mag_x_score_hex,n_mag_x_pg_order,n_mag_per_volume,density_x_cs,density_x_pg_order,n_3d_tm,n_4d5d_tm,n_4f_re,n_5f_act,has_3d,has_4d5d,has_4f,has_5f,has_3d_and_4f,has_3d_and_4d5d,n_mag_types,weighted_mag_count,soc_proxy_sum,soc_proxy_max,soc_proxy_mean,has_strong_soc,soc_x_n_mag,max_period,mean_period,n_heavy_mag,has_heavy_mag,sg_in_frustrated,sg_in_hexagonal,sg_in_trigonal,sg_in_cubic_hi,sg_bin,frustration_index,frustration_composite,c_over_a,b_over_a,cubic_deviation,cell_elongation,hex_ca_ideal_dev,angle_dev_90,max_angle_dev,is_right_angle,vol_per_atom,atom_density,frustrated_x_soc,frustrated_x_4f,fi_x_soc,fi_x_heavy,multi_type_x_fi
0.1000_Fe4O5.mcif,1k,2.8906,9.8024,12.5804,90.0,90.0,90.0,356.463337322176,0.294886966427111,0.2297701185789188,0.7791803121697896,8.424466666666667,4.074070954490388,0.483599866342493,12.5804,2.8906,9.689799999999998,7.090414475370629,0.0,0.0,0.0,0.0,0.4554636414200376,0.3736797880309174,0.8758868416875509,0.1490738006475763,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.1490738004985025,0.0146923755292046,0.4554636409645739,0.999999999,0.999999999,5.876231393954885,7.090414475370629,63.0,3,0.2739130434782608,1,8,4.143134726391533,0,0,1,0,0,0,0,0,1,0,0,0,1.3663909242601129,0.4472214019427291,0.0,0.4472214014955076,0.044077126587614,24,9,2,4.5,0.2222222222222222,1.0,1.0,0.0,0,0.0,303.37500000000006,4,0,4,0.4444444444444444,0.0,0.4444444444444444,16.0,26.0,8.0,18.0,33.708333333333336,19.799636584768137,55.845,15.999,39.846,2.7244444444444444,0.8000154319499246,3.44,1.83,1.61,95.55555555555556,39.75231959999626,140.0,60.0,80.0,0.8788408333333333,0.6510006320533712,1.4611135,0.151,1.3101135,175.11111111111111,25.83900773999757,204.0,152.0,52.0,30.5,28.17445651649735,62.0,5.3,56.7,11.077794155555557,2.840097964379398,13.618055,7.9024681,5.7155869,12.444444444444445,3.9752319599996255,16.0,8.0,8.0,2.888888888888889,0.9938079899999066,4.0,2.0,2.0,0.8510692916668902,-0.1612617299081197,0.0945632546296544,39.60703748024178,178.231668661088,33.70833333333334,1,0,0,150.0,0.0,5.017279836814924,12.24744871391589,22500.0,0.15,0.0,0.0,1.0,0.0,0.0,450.0,1200.0,600.0,66.66666666666666,127.66039375003352,5056.25,408.6666666666667,1350.0,22.361070074775384,2.2038563293807027,68.31954614468609,53469.500598326405,5941.055622036267,12,0.5962952019940102,0.0587695021168187,32,0.0112213503639639,2.5532078750006706,6.808554333335121,1,0,0,0,1,0,0,0,0,0,1,4.0,1,1,1.0,0,1,4,4.0,0,0,0,0,0,0,1,0,0,4.352176017313991,3.391129868058144,0.483599866342493,4.352176017313991,2.719176017313991,0.0,0.0,1,39.60703748024178,0.02524803831891886,0,0,0,0,0
0.100_YCr0.5Mn0.5O3.mcif,1k,5.6278,7.4767,5.2507,90.0,90.0,90.0,220.935658525582,0.7527117577604141,1.0718189953583674,1.4239434739322483,6.1184,0.9727230746723344,0.1589832430886099,7.4767,5.2507,2.226,6.045356804635921,0.0,0.0,0.0,0.0,0.8589110610966529,0.9653352943911996,0.825101748996252,0.6841225225401567,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.6841225218560342,0.0277068084215789,0.8589110602377418,0.999999999,0.999999999,5.3978715212355945,6.045356804635921,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.5767331832899587,2.05236756762047,0.0,2.0523675655681024,0.0831204252647367,24,5,4,1.25,0.8,0.8,0.5,0.2449489742783178,1,0.4,227.837984,2,1,3,0.4,0.2,0.6,20.8,39.0,8.0,31.0,45.5675968,27.407802141816056,88.90584,15.999,72.90684,2.262,0.972674662978326,3.44,1.22,2.22,116.0,48.0,180.0,60.0,120.0,0.9738067499999998,0.5035652823572755,1.4611135,0.307,1.1541135,189.4,32.034980880281466,232.0,152.0,79.99999999999997,64.72,58.08577794951188,162.0,5.3,156.7,9.5307836,3.359421506421878,13.618055,6.21726,7.400795,9.6,5.388877434122992,16.0,3.0,13.0,3.4,1.2000000000000002,5.0,2.0,3.0,1.0312413375028764,0.0307632586342627,0.2062482675005753,44.1871317051164,55.2339146313955,45.5675968,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,1.3682450437120683,0.0554136168431578,16,0.0090524092550158,3.093724012508629,8.249930700023011,2,0,0,0,1,0,0,0,0,0,1,1.0,2,1,1.0,0,4,4,4.0,0,0,0,0,0,0,1,0,0,0.9329933542533507,1.3285297982642366,0.15898324308860998,1.4239434739322483,0.7000066457466493,0.0,0.0,1,44.1871317051164,0.022631023137539626,0,0,0,0,0
0.101_Mn2GeO4.mcif,1k,10.6949,6.2875,5.056,90.0,90.0,90.0,339.98659304,1.7009781309421903,2.115288765404413,1.2435719934249263,7.346133333333333,2.420719824533374,0.3295229904444766,10.6949,5.056,5.6389000000000005,6.97944030618639,0.0,0.0,0.0,0.0,0.7404724891805354,0.6419950606224409,0.8914356239351668,0.4237703821645633,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.4237703817407929,0.0238862093276338,0.7404724884400629,0.999999999,0.999999999,5.828906184597442,6.97944030618639,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.221417467541606,1.27131114649369,0.0,1.2713111452223789,0.0716586279829015,24,6,3,2.0,0.5,1.0,1.0,0.0,0,0.0,230.503088,2,0,2,0.3333333333333333,0.0,0.3333333333333333,17.666666666666668,32.0,8.0,24.0,38.417181333333325,23.18088052146489,72.63,15.999,56.63099999999999,2.5716666666666663,0.8817674800585973,3.44,1.55,1.89,97.5,37.83186487605389,140.0,60.0,80.0,1.404013125,0.0989007506312357,1.4611135,1.232712,0.2284014999999999,179.5,27.572631357924465,211.0,152.0,59.0,31.983333333333334,28.2685583093459,68.0,5.3,62.7,10.603612666666663,3.018431483707648,13.618055,7.434038,6.184017,12.666666666666666,4.068851871911234,16.0,7.0,9.0,3.0,1.0,4.0,2.0,2.0,0.6779769929718401,-0.3886419252873538,0.1129961654953066,56.66443217333333,113.32886434666666,38.417181333333325,1,0,0,47.0,0.0,3.871201010907891,6.855654600401044,2209.0,0.047,1.0,0.0,0.0,0.0,0.0,141.0,376.0,94.0,15.666666666666666,31.864918669676484,1805.6075226666665,120.86833333333333,282.0,19.917207941817267,1.122651838398791,34.80220695668295,15979.36987288,2663.2283121466667,6,0.8475407634815859,0.0477724186552676,16,0.0058825849046485,2.0339309789155204,5.423815943774721,1,0,0,0,1,0,0,0,0,0,1,2.0,1,1,1.0,0,1,4,4.0,0,0,0,0,0,0,1,0,0,0.47274869325821195,0.5878970349804208,0.3295229904444766,2.115288765404413,1.1602513067417881,0.0,0.0,1,56.66443217333333,0.017647754713945706,0,0,0,0,0
0.102_Mn2GeO4.mcif,1k,10.6941,6.2879,5.0558,90.0,90.0,90.0,339.969340421562,1.700742696019221,2.1152142090044674,1.243700304354662,7.345933333333332,2.4203557070994526,0.3294823948084614,10.6941,5.0558,5.638300000000001,6.979322246965005,0.0,0.0,0.0,0.0,0.7405370392332742,0.6420104254857484,0.8913846452311517,0.4237932300284081,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.4237932296046148,0.0238882915873995,0.7405370384927371,0.999999999,0.999999999,5.828855438313476,6.979322246965005,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.2216111176998226,1.271379690085224,0.0,1.2713796888138444,0.0716648747621986,24,6,3,2.0,0.5,1.0,1.0,0.0,0,0.0,230.503088,2,0,2,0.3333333333333333,0.0,0.3333333333333333,17.666666666666668,32.0,8.0,24.0,38.417181333333325,23.18088052146489,72.63,15.999,56.63099999999999,2.5716666666666663,0.8817674800585973,3.44,1.55,1.89,97.5,37.83186487605389,140.0,60.0,80.0,1.404013125,0.0989007506312357,1.4611135,1.232712,0.2284014999999999,179.5,27.572631357924465,211.0,152.0,59.0,31.983333333333334,28.2685583093459,68.0,5.3,62.7,10.603612666666663,3.018431483707648,13.618055,7.434038,6.184017,12.666666666666666,4.068851871911234,16.0,7.0,9.0,3.0,1.0,4.0,2.0,2.0,0.6780113986578206,-0.3885911790033882,0.1130018997763034,56.661556736927,113.323113473854,38.417181333333325,1,0,0,17.0,0.0,2.8903717578961645,4.123105625617661,289.0,0.017,1.0,0.0,0.0,0.0,0.0,51.0,136.0,34.0,5.666666666666666,11.52619377718295,653.0920826666666,43.71833333333333,102.0,7.204484903278452,0.4061009569857922,12.589129654376531,5779.478787166554,963.2464645277588,6,0.8475864592092296,0.047776583174799,16,0.005882883431547,2.0340341959734616,5.4240911892625645,1,0,0,0,1,0,0,0,0,0,1,2.0,1,1,1.0,0,1,4,4.0,0,0,0,0,0,0,1,0,0,0.47276535655429014,0.5879784179512086,0.3294823948084614,2.1152142090044674,1.1602346434457098,0.0,0.0,1,56.661556736927,0.017648650294641275,0,0,0,0,0
0.103_Mn2GeO4.mcif,1k,10.6926,6.2851,5.0557,90.0,90.0,90.0,339.763567456482,1.7012617139422983,2.1149593523913683,1.2431710739871489,7.344466666666666,2.4201038136594244,0.3295138943599141,10.6926,5.0557,5.636900000000001,6.977913839879118,0.0,0.0,0.0,0.0,0.7403947531326154,0.6420629528493829,0.8915949492194911,0.4238464439348651,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.4238464435110186,0.0238837017131848,0.7403947523922205,0.999999999,0.999999999,5.828249985880673,6.977913839879118,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.2211842593978464,1.271539331804595,0.0,1.2715393305330558,0.0716511051395546,24,8,3,2.6666666666666665,0.375,1.0,1.0,0.0,0,0.0,301.44013200000006,3,0,3,0.375,0.0,0.375,17.375,32.0,8.0,24.0,37.6800165,22.34749927876615,72.63,15.999,56.63099999999999,2.5525,0.8986065601808167,3.44,1.55,1.89,98.125,38.40064289826409,140.0,60.0,80.0,1.4154331999999998,0.0913605999999999,1.4611135,1.232712,0.2284014999999999,179.25,27.311856399739646,211.0,152.0,59.0,33.15,29.139706587404067,68.0,5.3,62.7,10.584221125,3.037178576090128,13.618055,7.434038,6.184017,12.375,4.211220131980754,16.0,7.0,9.0,3.0,1.0,4.0,2.0,2.0,0.8872055772684029,-0.1196785565946806,0.1109006971585503,42.47044593206025,113.254522485494,37.68001650000001,1,0,0,5.5,0.0,1.8718021769015916,2.345207879911715,30.25,0.0055,1.0,0.0,0.0,0.0,0.0,16.5,44.0,16.5,2.0625,4.879630674976216,207.24009075,14.03875,44.0,2.3311554393106024,0.1313603594225169,4.072171138157213,1868.699621010651,233.58745262633136,9,1.2715393305330558,0.0716511051395546,24,0.0088296694741535,2.661616731805209,7.097644618147223,1,0,0,0,1,0,0,0,0,0,1,2.0,1,1,1.0,0,1,4,4.0,0,0,0,0,0,0,1,0,0,0.47282232567637217,0.5877990385324617,0.32951389435991413,2.1149593523913683,1.1601776743236278,0.0,0.0,1,42.47044593206025,0.02354578526440939,0,0,0,0,0
0.104_ErVO3.mcif,1k,5.2644,5.5856,7.5716,90.0,90.0,90.0,222.641630817024,0.942494986940974,0.695282370873358,0.7377040518862983,6.140533333333334,1.0203777775357952,0.1661708718085764,7.5716,5.2644,2.3072,6.060876827971383,0.0,0.0,0.0,0.0,0.9703963133667838,0.8202555313321709,0.8490560301698648,0.6758256276355489,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.6758256269597231,0.0313031068817897,0.9703963123963874,0.999999999,0.999999999,5.405563442096594,6.060876827971383,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.9111889401003515,2.0274768829066465,0.0,2.0274768808791697,0.0939093206453691,24,8,3,2.6666666666666665,0.375,1.0,1.0,0.0,0,0.0,500.3970000000001,4,2,2,0.5,0.25,0.25,26.75,68.0,8.0,60.0,62.54962499999999,62.11425592142173,167.259,15.999,151.26,2.4375,1.0119381156968048,3.44,1.24,2.2,107.5,49.56056900399752,175.0,60.0,115.0,1.1490756666666666,0.4412881358735154,1.4611135,0.525,0.9361135,185.0,33.90427701632937,229.0,152.0,77.0,61.9,60.82503596382003,150.0,5.3,144.7,10.02249925,3.602635057496691,13.618055,6.1077,7.510355,12.333333333333334,5.185449728701348,16.0,5.0,11.0,3.5,1.6583123951777,6.0,2.0,4.0,2.247544622107295,0.8098383412743545,0.2809430777634119,27.830203852128,74.213876939008,62.54962500000001,1,1,1,112.0,0.0,4.727387818712341,10.583005244258365,12544.0,0.112,0.0,1.0,0.0,0.0,0.0,336.0,896.0,448.0,56.0,251.72499767601704,7005.557999999999,273.0,896.0,75.692470219489,3.5059479707604466,108.6843869883954,24935.86265150669,3116.982831438336,12,2.7033025078388926,0.1252124275271588,32,0.0179660918998898,6.742633866321885,17.98035697685836,1,0,1,0,1,0,1,0,1,0,2,8.0,8,7,4.0,1,16,6,5.0,1,1,0,0,0,0,1,0,1,1.4382645692883775,1.0610136005886686,0.16617087180857648,1.4382645692883775,0.19473543071162247,0.0,0.0,1,27.830203852128,0.035932183799779686,0,0,0,0,0
0.105_ErVO3.mcif,1k,5.2644,5.5856,7.5716,90.0,90.0,90.0,222.641630817024,0.942494986940974,0.695282370873358,0.7377040518862983,6.140533333333334,1.0203777775357952,0.1661708718085764,7.5716,5.2644,2.3072,6.060876827971383,0.0,0.0,0.0,0.0,0.9703963133667838,0.8202555313321709,0.8490560301698648,0.6758256276355489,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.6758256269597231,0.0313031068817897,0.9703963123963874,0.999999999,0.999999999,5.405563442096594,6.060876827971383,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.9111889401003515,2.0274768829066465,0.0,2.0274768808791697,0.0939093206453691,24,6,3,2.0,0.5,1.0,1.0,0.0,0,0.0,317.13900000000007,3,1,2,0.5,0.1666666666666666,0.3333333333333333,23.0,68.0,8.0,60.0,52.85650000000001,53.49562657358075,167.259,15.999,151.26,2.47,0.9786725703727474,3.44,1.24,2.2,104.16666666666669,46.13536845222136,175.0,60.0,115.0,1.0866681,0.4586000832661721,1.4611135,0.525,0.9361135,183.16666666666663,32.017790193717126,229.0,152.0,77.0,56.650000000000006,55.47812632019939,150.0,5.3,144.7,10.0757065,3.5487362650235434,13.618055,6.1077,7.510355,11.6,5.388877434122992,16.0,5.0,11.0,3.333333333333333,1.49071198499986,6.0,2.0,4.0,1.4244371047597917,0.3537767214782966,0.2374061841266319,37.106938469504,74.213876939008,52.85650000000001,1,1,1,60.0,0.0,4.110873864173311,7.745966692414834,3600.0,0.06,0.0,1.0,0.0,0.0,0.0,180.0,480.0,180.0,30.0,85.46622628558748,3171.390000000001,148.2,360.0,40.54953761758339,1.878186412907382,58.22377874378324,13358.49784902144,2226.41630817024,9,2.0274768808791697,0.0939093206453691,24,0.0134745689249173,4.273311314279375,11.395496838078332,1,0,1,0,1,0,1,0,1,0,2,8.0,8,7,4.0,1,16,6,5.0,1,1,0,0,0,0,1,0,1,1.4382645692883775,1.0610136005886686,0.16617087180857648,1.4382645692883775,0.19473543071162247,0.0,0.0,1,37.106938469504,0.026949137849834767,0,0,0,0,0
0.106_DyVO3.mcif,1k,5.292,5.598,7.586,90.0,90.0,90.0,224.732336976,0.9453376204099077,0.6976008435674135,0.7379383073111074,6.158666666666666,1.016978968426694,0.1651297307201067,7.586,5.292,2.2940000000000005,6.079789215482204,0.0,0.0,0.0,0.0,0.9719008264488612,0.8218667495090956,0.849211165059981,0.6783269270866125,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.6783269264082855,0.0313516395618551,0.9719008254769604,0.999999999,0.999999999,5.414910080612678,6.079789215482204,62.0,3,0.2695652173913043,1,8,4.127134385045092,0,0,1,0,0,0,0,0,1,0,0,0,2.915702479346584,2.0349807812598373,0.0,2.0349807792248567,0.0940549186855654,24,8,3,2.6666666666666665,0.375,1.0,1.0,0.0,0,0.0,490.8790000000001,4,2,2,0.5,0.25,0.25,26.25,66.0,8.0,58.0,61.359875,60.1104928115456,162.5,15.999,146.501,2.4325,1.0178746239100374,3.44,1.22,2.22,107.5,49.56056900399752,175.0,60.0,115.0,0.94980675,0.5149521507825386,1.4611135,0.352,1.1091135,185.5,34.55792239125494,231.0,152.0,79.0,65.15,65.60504934835429,163.0,5.3,157.7,9.9803395,3.648891010488632,13.618055,5.939061,7.678994,12.333333333333334,5.185449728701348,16.0,5.0,11.0,3.5,1.6583123951777,6.0,2.0,4.0,2.1842828967351635,0.7812875809663263,0.2730353620918954,28.091542122,74.910778992,61.35987500000002,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,12,2.713307705633142,0.1254065582474205,32,0.0177989516498783,6.55284869020549,17.474263173881308,1,0,1,0,1,0,1,0,1,0,2,8.0,8,7,4.0,1,16,6,5.0,1,1,0,0,0,0,1,0,1,1.4334845046421987,1.0578231290518096,0.16512973072010678,1.4334845046421987,0.19951549535780133,0.0,0.0,1,28.091542122,0.03559790329975677,0,0,0,0,0
0.107_Ho2Ge2O7.mcif,1k,6.8083,6.8083,12.3795,90.0,90.0,90.0,573.826330783755,0.9999999998531204,0.549965669005213,0.549965669005213,8.665366666666666,2.626288866230996,0.3030787925028659,12.3795,6.8083,5.5712,8.309855862435619,1.0,0.0,0.0,0.0,1.0,0.709648839381813,0.709648839381813,0.5036014752359542,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.5036014747323527,0.0322580645150884,0.999999999,0.999999999,0.999999999,6.35232679092899,8.309855862435619,92.0,4,0.4,0,16,4.5217885770490405,0,0,0,1,0,0,0,0,1,0,0,0,4.0,2.014405900943817,0.0,2.014405898929411,0.1290322580603538,64,6,3,2.0,0.5,1.0,1.0,0.0,0,0.0,301.55633000000006,1,1,0,0.1666666666666666,0.1666666666666666,0.0,21.83333333333333,67.0,8.0,59.0,50.25938833333334,55.29461390898768,164.93033,15.999,148.93133,2.833333333333333,0.8870112112532113,3.44,1.23,2.21,90.0,44.8144321991625,175.0,60.0,115.0,1.4154331999999998,0.0913605999999999,1.4611135,1.232712,0.2284014999999999,174.83333333333334,32.75371056163797,230.0,152.0,77.99999999999997,37.70000000000001,58.32326579790722,165.0,5.3,159.7,11.398859166666666,3.184893553750288,13.618055,6.0215,7.596555,15.6,0.7999999999999999,16.0,14.0,2.0,3.0,1.5275252316519468,6.0,2.0,4.0,0.525518460590894,-0.6433699597086227,0.0875864100984823,95.6377217972925,191.275443594585,50.25938833333334,1,1,1,1.6,0.0,0.9555114450274363,1.2649110640673518,2.5600000000000005,0.0016,1.0,0.0,0.0,0.0,0.0,6.4,25.6,1.6,0.2666666666666666,0.8408295369454305,80.41502133333336,4.533333333333334,9.6,0.8057623595717645,0.0516129032241415,1.5999999984,918.122129254008,153.020354875668,4,0.5036014747323527,0.0322580645150884,16,0.0017426875456101,2.102073842363576,8.408295369454304,0,0,1,0,0,0,1,0,0,0,1,14.0,7,7,7.0,1,7,6,6.0,1,1,0,0,0,0,1,1,2,1.8182953157442687,0.9999999998531205,0.3030787925028659,1.8182953157442687,0.18529531574426872,0.0,0.0,1,95.6377217972925,0.01045612527366069,0,0,7,1,1
0.108_Mn3Ir.mcif,1k,3.77,3.77,3.77,90.0,90.0,90.0,53.582633,0.999999999734748,0.999999999734748,0.999999999734748,3.77,0.0,0.0,3.77,3.77,0.0,3.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.123233995736766e-17,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,90.0,0.0,0.999999999,0.0322580645150884,0.999999999,0.999999999,0.999999999,3.981225004379758,3.77,221.0,7,0.9608695652173912,1,48,5.3981627015177525,0,0,0,0,0,0,1,0,0,1,0,1,7.0,7.0,0.0,6.999999992999999,0.2258064516056191,336,2,2,1.0,1.0,1.0,1.0,0.0,0,0.0,247.155044,1,0,2,0.5,0.0,1.0,51.0,77.0,25.0,52.0,123.577522,68.63947800000001,192.217,54.938044,137.27895600000002,1.875,0.325,2.2,1.55,0.6500000000000001,137.5,2.5,140.0,135.0,5.0,1.5638,0.0,1.5638,1.5638,0.0,209.0,4.000000000000014,213.0,205.0,8.000000000000028,61.0,7.0,68.0,54.0,14.0,8.200529,0.7664909999999998,8.96702,7.434038,1.5329819999999996,8.0,1.0,9.0,7.0,2.0,5.0,1.0,6.0,4.0,2.0,4.6125960999340965,1.5287908438236657,2.306298049967048,26.7913165,26.7913165,123.577522,1,0,0,960.0,0.0,6.8679744089702925,30.983866769659336,921600.0,0.96,0.0,0.0,0.0,0.0,1.0,6720.0,46080.0,960.0,480.0,4428.092255936733,118634.42112,1800.0,1920.0,959.99999904,30.96774193448491,959.99999904,51439.32768,25719.66384,7,0.999999999,0.0322580645150884,48,0.0186627633621513,32.28817269953868,221.40461279683663,1,1,0,0,1,1,0,0,0,1,2,12.0,10,9,5.0,1,20,6,5.0,1,1,0,0,0,0,4,3,4,0.999999999734748,0.999999999734748,0.0,0.999999999734748,0.633000000265252,0.0,0.0,1,26.7913165,0.03732552672430263,0,0,27,3,6
